Complexity,Loss,Equation
1,33.60272,"2.3552182"
3,33.1943,"exp(cos(x3))"
4,18.823095,"exp(-1.821703 - x0)"
6,15.94561,"x0 + exp(-1.601789 - x0)"
8,15.0575,"exp(-1.6550897 - x0) + (x0 + 0.98655933)"
9,6.61759,"exp(x0 + -1.5771438) + exp(-1.8234075 - x0)"
11,6.599912,"(exp(x0 + -1.5632662) + exp(-1.8136743 - x0)) + -0.14816004"
12,4.7676363,"(exp(-1.829087 - x0) + exp(x0 + -1.6068864)) - cos(x0)"
14,4.763306,"exp(-1.8339238 - x0) + ((exp(x0 + -1.6139687) - cos(x0)) - -0.07322953)"
15,3.2405276,"(cos(x3) + (exp(-1.8475134 - x0) + exp(x0 + -1.59572))) - cos(x0)"
17,3.2374413,"exp(-1.8465551 - x0) + (sin(-1.5226976 - x0) + (exp(x0 + -1.5971459) + cos(x3)))"
19,2.7053673,"(sin(cos(x3)) + (cos(x3) + (exp(x0 + -1.6279968) + exp(-1.8520688 - x0)))) - cos(x0)"
20,2.076626,"cos(x3) + (exp(x0 + -1.6279968) + ((sin(-1.5389868 - x0) + exp(-1.8520688 - x0)) - cos(x0)))"
22,2.075697,"cos(x3) + (((sin(-1.5389771 - x0) + exp(x0 + -1.6279968)) + sin(-1.5389868 - x0)) + exp(-1.8520688 - x0))"
23,1.3238499,"(cos(x3) + cos(x3)) + (exp(x0 + -1.6279968) + ((sin(-1.5389868 - x0) + exp(-1.8520688 - x0)) - cos(x0)))"
25,1.3111643,"exp(-1.8701665 - x0) + (((cos(x3) + cos(x3)) + sin(x0 + -1.6213503)) + (sin(-1.520352 - x0) + exp(x0 + -1.6177114)))"
27,1.2873704,"exp(x0 + -1.6166877) + ((cos(x3) + ((exp(-1.8748107 - x0) + sin(-1.5197139 - x0)) + sin(x0 + -1.6218766))) + cos(x3 + 0.18810639))"
30,0.849269,"exp(-1.8701665 - x0) + ((sin(-1.520352 - x0) + exp(x0 + -1.6213503)) + (cos(x3) + ((sin(-1.520352 - x0) + cos(x3)) + sin(x0 + -1.6213503))))"
